Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
20,BEXAR COUNTY,15906,RANDOLPH FIELD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,103.52,6489947,62692
14,EASTLAND COUNTY,67907,RANGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,38.0,1782151,46900
18,UPTON COUNTY,231902,RANKIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,38.7,2008612,51902
1,WILLACY COUNTY,245903,RAYMONDVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,159.46,8741230,54819
18,REAGAN COUNTY,192901,REAGAN COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,84.27,4479310,53155
8,BOWIE COUNTY,19911,RED LICK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,41.0,2092052,51023
10,ELLIS COUNTY,70911,RED OAK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,385.88,21554754,55859
8,BOWIE COUNTY,19906,REDWATER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,100.17,5212065,52033
3,REFUGIO COUNTY,196903,REFUGIO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,66.08,3128869,47351
2,KLEBERG COUNTY,137902,RICARDO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,46.0,2732543,59404
3,COLORADO COUNTY,45903,RICE CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,109.28,5843321,53473
12,NAVARRO COUNTY,175911,RICE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.49,3360387,49063
6,GRIMES COUNTY,93905,RICHARDS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.46,912042,49407
10,DALLAS COUNTY,57916,RICHARDSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2743.53,159993948,58317
15,SAN SABA COUNTY,206902,RICHLAND SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.23,909096,56012
12,MCLENNAN COUNTY,161912,RIESEL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,51.42,2444417,47536
1,STARR COUNTY,214901,RIO GRANDE CITY CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,744.37,40601604,54545
1,CAMERON COUNTY,31911,RIO HONDO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,133.02,7173653,53927
11,JOHNSON COUNTY,126907,RIO VISTA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,70.75,3750752,53016
14,EASTLAND COUNTY,67908,RISING STAR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.01,741022,46288
16,POTTER COUNTY,188902,RIVER ROAD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,107.96,5233637,48478
8,RED RIVER COUNTY,194903,RIVERCREST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,65.46,3286411,50203
2,KLEBERG COUNTY,137903,RIVIERA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,37.49,2058397,54899
15,COKE COUNTY,41902,ROBERT LEE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,27.47,1365122,49703
12,MCLENNAN COUNTY,161922,ROBINSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,182.91,9675951,52900
2,NUECES COUNTY,178909,ROBSTOWN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,175.31,9053718,51643
14,FISHER COUNTY,76903,ROBY CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,29.12,1491258,51215
15,MCCULLOCH COUNTY,160904,ROCHELLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.76,1003757,46123
6,MILAM COUNTY,166904,ROCKDALE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,116.07,6058951,52200
15,EDWARDS COUNTY,69901,ROCKSPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,28.02,1510881,53916
10,ROCKWALL COUNTY,199901,ROCKWALL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1014.81,58925117,58065
12,BELL COUNTY,14907,ROGERS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,65.94,3373029,51156
1,STARR COUNTY,214903,ROMA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,439.14,24100418,54881
17,LUBBOCK COUNTY,152908,ROOSEVELT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,92.4,4099202,44363
17,HOCKLEY COUNTY,110905,ROPES ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,45.12,2275594,50433
14,NOLAN COUNTY,177901,ROSCOE COLLEGIATE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,46.29,2344267,50639
12,FALLS COUNTY,73905,ROSEBUD-LOTT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.02,2787884,48891
14,FISHER COUNTY,76904,ROTAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,25.22,1268382,50299
13,WILLIAMSON COUNTY,246909,ROUND ROCK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3531.27,196648050,55688
13,FAYETTE COUNTY,75908,ROUND TOP-CARMINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.68,1149435,46568
4,WALLER COUNTY,237905,ROYAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,177.89,9629817,54133
10,ROCKWALL COUNTY,199902,ROYSE CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,425.7,22744303,53428
14,HASKELL COUNTY,104903,RULE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,14.78,687727,46536
3,KARNES COUNTY,128903,RUNGE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.33,883674,48203
7,CHEROKEE COUNTY,37907,RUSK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,159.9,8230937,51475
10,GRAYSON COUNTY,91914,S AND S CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,73.08,3988535,54578
20,UVALDE COUNTY,232902,SABINAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,37.94,1802205,47502
7,GREGG COUNTY,92906,SABINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,107.37,5324420,49590
5,JEFFERSON COUNTY,123913,SABINE PASS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,33.86,1754352,51812
9,MONTAGUE COUNTY,169911,SAINT JO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,28.62,1334088,46611
12,BELL COUNTY,14908,SALADO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,133.71,6776745,50684
8,HOPKINS COUNTY,112909,SALTILLO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,26.83,1345649,50157
10,FANNIN COUNTY,74917,SAM RAYBURN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,52.28,2707320,51784
15,TOM GREEN COUNTY,226903,SAN ANGELO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,939.43,46640370,49647
20,BEXAR COUNTY,15907,SAN ANTONIO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,3107.85,177400174,57081
7,SAN AUGUSTINE COUNTY,203901,SAN AUGUSTINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,61.06,3279374,53710
1,CAMERON COUNTY,31912,SAN BENITO CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,695.02,37860047,54473
2,DUVAL COUNTY,66902,SAN DIEGO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,100.38,5250868,52311
19,EL PASO COUNTY,71904,SAN ELIZARIO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,233.34,12874853,55177
15,VAL VERDE COUNTY,233901,SAN FELIPE-DEL RIO CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,621.4,34779531,55970
1,STARR COUNTY,214902,SAN ISIDRO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.0,1047560,49874
13,HAYS COUNTY,105902,SAN MARCOS CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,570.7,30667940,53737
1,WILLACY COUNTY,245904,SAN PERLITA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,24.49,1274172,52035
15,SAN SABA COUNTY,206901,SAN SABA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,71.22,3380249,47464
18,BREWSTER COUNTY,22903,SAN VICENTE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,5.0,306278,61257
17,DAWSON COUNTY,58909,SANDS CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.07,988978,49273
16,HUTCHINSON COUNTY,117903,SANFORD-FRITCH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,65.03,3381305,51996
11,DENTON COUNTY,61908,SANGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,188.28,10425570,55372
15,COLEMAN COUNTY,42903,SANTA ANNA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,26.9,1395193,51864
4,GALVESTON COUNTY,84909,SANTA FE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,259.9,15229465,58597
2,KLEBERG COUNTY,137904,SANTA GERTRUDIS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,48.61,2697883,55497
1,CAMERON COUNTY,31913,SANTA MARIA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,54.77,2603462,47534
1,CAMERON COUNTY,31914,SANTA ROSA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,83.65,4292577,51318
11,PALO PINTO COUNTY,182904,SANTO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,39.89,1891437,47421
10,FANNIN COUNTY,74911,SAVOY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,28.35,1382290,48760
20,GUADALUPE COUNTY,94902,SCHERTZ-CIBOLO-U CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,992.21,59471630,59938
15,SCHLEICHER COUNTY,207901,SCHLEICHER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,53.8,2713879,50447
13,FAYETTE COUNTY,75903,SCHULENBURG ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,65.11,3463887,53197
10,KAUFMAN COUNTY,129910,SCURRY-ROSSER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,81.62,4284438,52493
17,GAINES COUNTY,83901,SEAGRAVES ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,45.9,2624227,57168
6,AUSTIN COUNTY,8902,SEALY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,204.77,11227569,54830
20,GUADALUPE COUNTY,94901,SEGUIN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,470.77,26192289,55637
17,GAINES COUNTY,83903,SEMINOLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,227.25,12862385,56601
9,BAYLOR COUNTY,12901,SEYMOUR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,49.51,2519018,50875
17,LUBBOCK COUNTY,152909,SHALLOWATER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,140.03,6880958,49139
16,WHEELER COUNTY,242902,SHAMROCK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,37.16,1913518,51492
1,HIDALGO COUNTY,108911,SHARYLAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,639.95,36768531,57456
7,SHELBY COUNTY,210903,SHELBYVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,66.36,3571889,53824
4,HARRIS COUNTY,101924,SHELDON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,617.83,38579756,62444
6,SAN JACINTO COUNTY,204904,SHEPHERD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,143.96,7885424,54776
10,GRAYSON COUNTY,91906,SHERMAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,564.95,31492747,55744
3,LAVACA COUNTY,143903,SHINER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,51.77,2980986,57582
14,COMANCHE COUNTY,47905,SIDNEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,13.19,616127,46702
19,HUDSPETH COUNTY,115902,SIERRA BLANCA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,11.24,698868,62190
5,HARDIN COUNTY,100904,SILSBEE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,204.86,10420532,50866
16,BRISCOE COUNTY,23902,SILVERTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.93,971349,46417
8,BOWIE COUNTY,19909,SIMMS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,46.12,2317916,50257
2,SAN PATRICIO COUNTY,205906,SINTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,141.9,7550616,53211
11,COOKE COUNTY,49909,SIVELLS BEND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,7.33,371055,50601
2,BEE COUNTY,13905,SKIDMORE-TYNAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,63.85,3275100,51294
17,LUBBOCK COUNTY,152903,SLATON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,111.16,5114263,46008
11,WISE COUNTY,249908,SLIDELL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,21.62,1195118,55289
7,ANDERSON COUNTY,1909,SLOCUM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,40.25,2091146,51951
13,BASTROP COUNTY,11904,SMITHVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,136.95,7025915,51304
17,HOCKLEY COUNTY,110906,SMYER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,40.36,2036197,50451
6,BURLESON COUNTY,26903,SNOOK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,42.61,2174894,51044
14,SCURRY COUNTY,208902,SNYDER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,197.66,10321194,52216
19,EL PASO COUNTY,71909,SOCORRO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2834.63,156610533,55249
20,BEXAR COUNTY,15909,SOMERSET ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,260.49,14833209,56943
6,BURLESON COUNTY,26902,SOMERVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,49.79,2531675,50847
15,SUTTON COUNTY,218901,SONORA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,68.69,3632938,52890
20,BEXAR COUNTY,15908,SOUTH SAN ANTONIO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,555.93,33352496,59994
1,CAMERON COUNTY,31916,SOUTH TEXAS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,305.2,19335331,63353
17,GARZA COUNTY,85903,SOUTHLAND ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,15.49,647914,41822
20,BEXAR COUNTY,15917,SOUTHSIDE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,358.6,21393239,59658
20,BEXAR COUNTY,15912,SOUTHWEST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,945.07,55177477,58384
16,HANSFORD COUNTY,98904,SPEARMAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,78.61,3975606,50577
6,MONTGOMERY COUNTY,170907,SPLENDORA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,283.14,16985223,59989
4,HARRIS COUNTY,101920,SPRING BRANCH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2287.68,146034173,63835
16,HUTCHINSON COUNTY,117907,SPRING CREEK ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,10.31,522403,50650
7,GREGG COUNTY,92907,SPRING HILL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,148.45,7355160,49545
4,HARRIS COUNTY,101919,SPRING ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,2157.15,132259385,61312
17,LAMB COUNTY,140907,SPRINGLAKE-EARTH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,35.1,1770382,50442
11,PARKER COUNTY,184902,SPRINGTOWN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,261.66,14814201,56617
17,DICKENS COUNTY,63903,SPUR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,27.0,1265869,46881
5,TYLER COUNTY,229905,SPURGER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,34.44,1657584,48136
4,FORT BEND COUNTY,79910,STAFFORD MSD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,221.94,13566226,61127
14,JONES COUNTY,127906,STAMFORD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,58.0,2998725,51700
18,MARTIN COUNTY,156902,STANTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,85.28,4698383,55094
11,ERATH COUNTY,72903,STEPHENVILLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,258.43,13699142,53009
15,STERLING COUNTY,216901,STERLING CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,28.92,1466028,50693
20,WILSON COUNTY,247906,STOCKDALE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,73.14,3647587,49874
16,SHERMAN COUNTY,211902,STRATFORD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,56.55,2887633,51062
11,PALO PINTO COUNTY,182905,STRAWN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.67,979099,49787
17,LAMB COUNTY,140908,SUDAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,44.7,2402541,53746
8,HOPKINS COUNTY,112910,SULPHUR BLUFF ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.58,917804,46875
8,HOPKINS COUNTY,112901,SULPHUR SPRINGS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,359.5,18134551,50444
17,HOCKLEY COUNTY,110907,SUNDOWN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,61.29,3382927,55199
10,DALLAS COUNTY,57919,SUNNYVALE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,131.71,7783861,59099
16,MOORE COUNTY,171902,SUNRAY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,55.71,2685057,48195
4,BRAZORIA COUNTY,20906,SWEENY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,132.06,7936093,60093
3,LAVACA COUNTY,143905,SWEET HOME ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,11.87,639821,53896
14,NOLAN COUNTY,177902,SWEETWATER ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,146.62,7394522,50434
2,SAN PATRICIO COUNTY,205907,TAFT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,85.75,4614888,53815
17,LYNN COUNTY,153904,TAHOKA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,60.42,3231896,53493
4,LIBERTY COUNTY,146907,TARKINGTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,130.47,7359784,56412
7,RUSK COUNTY,201910,TATUM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,104.96,5674831,54068
13,WILLIAMSON COUNTY,246911,TAYLOR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,234.87,11464261,48810
12,FREESTONE COUNTY,81904,TEAGUE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,91.78,4950510,53939
12,BELL COUNTY,14909,TEMPLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,600.66,32519848,54140
7,SHELBY COUNTY,210904,TENAHA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,40.13,2556126,63701
18,BREWSTER COUNTY,22004,TERLINGUA CSD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,12.24,613213,50102
18,TERRELL COUNTY,222901,TERRELL COUNTY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,14.39,759363,52778
10,KAUFMAN COUNTY,129906,TERRELL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,296.39,17170160,57930
8,BOWIE COUNTY,19907,TEXARKANA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,533.51,27776631,52064
4,GALVESTON COUNTY,84906,TEXAS CITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,547.93,31976097,58358
16,SHERMAN COUNTY,211901,TEXHOMA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,11.49,548572,47762
16,DALLAM COUNTY,56902,TEXLINE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,18.34,875063,47725
13,MILAM COUNTY,166905,THORNDALE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,54.64,2743881,50216
13,WILLIAMSON COUNTY,246912,THRALL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,57.44,2965952,51637
2,LIVE OAK COUNTY,149902,THREE RIVERS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,60.67,3312965,54605
11,ERATH COUNTY,72901,THREE WAY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.9,734784,43469
9,THROCKMORTON COUNTY,224901,THROCKMORTON COLLEGIATE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,17.58,791363,45023
3,MATAGORDA COUNTY,158902,TIDEHAVEN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,74.23,4163991,56095
7,SHELBY COUNTY,210905,TIMPSON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,55.76,2886700,51774
10,GRAYSON COUNTY,91907,TIOGA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,58.01,2918639,50313
11,HOOD COUNTY,111903,TOLAR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,64.98,3360008,51712
10,GRAYSON COUNTY,91918,TOM BEAN ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,53.82,2671333,49633
4,HARRIS COUNTY,101921,TOMBALL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1082.89,64986687,60012
19,EL PASO COUNTY,71908,TORNILLO ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,69.93,3658518,52315
14,TAYLOR COUNTY,221905,TRENT ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.0,754511,47153
10,FANNIN COUNTY,74912,TRENTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,48.13,2420841,50300
7,HENDERSON COUNTY,107907,TRINIDAD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,19.53,925085,47378
6,TRINITY COUNTY,228903,TRINITY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,90.73,4551398,50164
7,SMITH COUNTY,212904,TROUP ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,85.0,4340892,51069
