Region,County,District,District Name,Charter Status,Staff_Category,Staff,FTE Count,Total Base Pay,Average Base Pay
8,BOWIE COUNTY,19905,NEW BOSTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,122.01,6372155,52225
13,COMAL COUNTY,46901,NEW BRAUNFELS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,551.62,31472264,57055
6,MONTGOMERY COUNTY,170908,NEW CANEY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,1028.91,64906602,63083
17,LUBBOCK COUNTY,152902,NEW DEAL ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,56.13,2729687,48635
7,UPSHUR COUNTY,230906,NEW DIANA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,85.87,4276012,49794
17,LYNN COUNTY,153905,NEW HOME ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,42.45,1950450,45945
7,CHEROKEE COUNTY,37908,NEW SUMMERFIELD ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,46.38,2453896,52914
6,WALKER COUNTY,236901,NEW WAVERLY ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,82.85,4249583,51292
9,YOUNG COUNTY,252902,NEWCASTLE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,20.33,1052388,51755
5,NEWTON COUNTY,176902,NEWTON ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,92.02,4212004,45774
13,GONZALES COUNTY,89903,NIXON-SMILEY CISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,89.95,4809983,53472
9,MONTAGUE COUNTY,169902,NOCONA ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,73.71,3480919,47223
3,DEWITT COUNTY,62902,NORDHEIM ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,16.0,781335,48833
6,LEON COUNTY,145906,NORMANGEE ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,47.47,2365013,49823
20,BEXAR COUNTY,15910,NORTH EAST ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,4255.58,245635533,57721
8,HOPKINS COUNTY,112906,NORTH HOPKINS ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,44.74,2182816,48789
8,LAMAR COUNTY,139911,NORTH LAMAR ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,210.37,10308197,49000
6,MADISON COUNTY,154903,NORTH ZULCH ISD,TRADITIONAL ISD/CSD,TEACHING STAFF,TOTAL TEACHING STAFF,30.18,1526708,50589
